"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.0387592980865e-107,1.60392214666356,0.837,0.382,3.41575219989782e-103,"0","Fign"
6.53749079722746e-107,1.59741263673828,0.914,0.628,2.14972309885231e-102,"0","Xkr4"
2.47943267068354e-105,0.965550182669744,0.992,0.912,8.15311845100869e-101,"0","Zbtb20"
4.46640726371275e-104,1.38906022462018,0.889,0.763,1.46868870052666e-99,"0","Zfp622"
1.87008018533197e-103,1.67979115386845,0.821,0.388,6.1493846734271e-99,"0","Lpar1"
2.1698538545054e-103,1.76035475723528,0.814,0.427,7.13513042977012e-99,"0","Niban1"
4.90768625540867e-103,2.35797620222279,0.659,0.256,1.61379447136603e-98,"0","Pxdn"
2.66404306135473e-102,1.50044489154837,0.837,0.414,8.76017279865277e-98,"0","Agmo"
1.35166233498132e-101,1.52210890022781,0.884,0.593,4.44467125611906e-97,"0","AABR07033249.1"
3.44550067479669e-101,1.0840146886276,0.951,0.72,1.1329839868934e-96,"0","Sorbs1"
4.70107590791941e-97,1.71518641671064,0.816,0.495,1.54585479080114e-92,"0","Col5a3"
7.0353945994394e-97,2.22238082855314,0.675,0.287,2.31344880613366e-92,"0","Gpm6a"
5.55342395298724e-96,1.7292591006686,0.797,0.469,1.82613239846079e-91,"0","Sh3d19"
1.2047979415328e-95,1.69105698772205,0.76,0.341,3.9617370711423e-91,"0","Slc35f1"
3.15457624322547e-93,2.40679185840598,0.597,0.212,1.03731930605983e-88,"0","Elovl2"
1.31596404293733e-92,1.77587736823157,0.768,0.411,4.32728456239082e-88,"0","Tmtc2"
9.94394059114058e-92,0.990970298004327,0.94,0.899,3.26986598458476e-87,"0","Son"
3.61631712392462e-89,1.47973496319372,0.773,0.366,1.18915355986013e-84,"0","Itgb8"
7.88928558302242e-89,1.96826173203621,0.66,0.269,2.59423377826526e-84,"0","Sox10"
1.23629944763667e-86,1.14566861380765,0.927,0.739,4.06532347366366e-82,"0","Stard13"
2.96506589624803e-85,1.54795785428939,0.778,0.425,9.75002618663238e-81,"0","Kcnh8"
3.85999979480793e-84,1.68729850239442,0.676,0.28,1.26928373252669e-79,"0","Gpm6b"
8.00346726998627e-84,2.24001683189828,0.587,0.216,2.63178014238959e-79,"0","Adamts5"
4.76160473667547e-83,1.74447880545366,0.713,0.352,1.56575848556099e-78,"0","Atp1a2"
2.8895600443428e-81,1.90063755982839,0.649,0.276,9.50174029381244e-77,"0","Kirrel1"
5.15362739780863e-81,1.40883187581118,0.727,0.347,1.69466729722141e-76,"0","Gpc6"
1.75513659397069e-80,1.38927345133609,0.805,0.429,5.77141566195383e-76,"0","Col4a1"
7.31522512831408e-80,2.67431539925275,0.546,0.19,2.40546547894352e-75,"0","Col8a1"
1.16244065927121e-79,1.58045126033364,0.702,0.317,3.82245361988152e-75,"0","Gas7"
3.62280648177586e-79,1.47614908823245,0.819,0.619,1.19128745540236e-74,"0","Adam23"
7.19996527625843e-79,2.70309386396796,0.475,0.137,2.36756458179206e-74,"0","Myo3a"
1.09157921561678e-78,1.89314714616121,0.616,0.252,3.58943993471265e-74,"0","Cmtm5"
1.39234594943582e-77,1.71126148896734,0.687,0.339,4.5784511855298e-73,"0","Adgrg6"
4.90722843963584e-77,2.04721424026103,0.573,0.216,1.61364392780545e-72,"0","Ptprz1"
1.38542689840252e-75,1.66646404021867,0.671,0.316,4.555699270017e-71,"0","Foxo1"
9.67482615476598e-75,1.64197060202336,0.749,0.457,3.1813730844717e-70,"0","Pdzd2"
8.94330715683082e-74,2.12458693027044,0.57,0.232,2.94082769238068e-69,"0","Ntrk2"
2.03355455718285e-73,1.46761134127323,0.77,0.547,6.68693745038436e-69,"0","Arhgap39"
5.97731754802815e-73,1.13148836667439,0.857,0.735,1.9655213293181e-68,"0","Ptn"
7.37666821416577e-71,1.30218196835617,0.77,0.412,2.42566980886413e-66,"0","Matn2"
1.86760021802739e-67,1.22280780083831,0.848,0.712,6.14122979693947e-63,"0","Iqcg"
1.89024517739809e-66,1.15544846558579,0.803,0.458,6.21569321683813e-62,"0","Ldb2"
2.28836330623733e-66,1.52541343615227,0.74,0.569,7.52482505990021e-62,"0","Ppfibp2"
2.87901261246777e-66,1.2173020886313,0.773,0.441,9.46705717357778e-62,"0","Plxdc2"
1.07663144500756e-64,1.83796651990497,0.603,0.288,3.54028718061834e-60,"0","Itgav"
1.44085088555682e-64,1.76058682977343,0.668,0.404,4.73794996697651e-60,"0","Sh3tc2"
2.23576823531613e-64,1.80793174146444,0.571,0.248,7.35187668819005e-60,"0","Insc"
